#{"t_start": 1781872384.2944937, "env_id": "None"}
r,l,t
-102112.564392,3840,43.341672
-84377.454491,3840,88.955616
-89093.395867,3840,133.648986
-87327.937479,3840,176.78019
-85790.69093,3840,221.80253
-82479.379658,3840,265.335885
-82444.600678,3840,311.385268
-80754.418293,3840,357.32357
-80649.166253,3840,403.131952
-80863.084034,3840,448.932793
-80713.21995,3840,496.123498
-81242.782297,3840,541.673352
-80360.39808,3840,585.269399
-80581.189074,3840,589.478866
